cheese,country
Red Leicester,United Kingdom
Tilsit,Germany
Caerphilly,United Kingdom
Bel Paese,Italy
Red Windsor,United Kingdom
Stilton,United Kingdom
Gruyere,France
Emmental,France
Norwegian Jarlsberger,Norway
Liptauer,Slovakia
Lancashire,United Kingdom
White Stilton,United Kingdom
Danish Blue,Danemark
Double Gloucester,United Kingdom
Cheshire,United Kingdom
Dorset Blue Vinney,United Kingdom
Brie,France
Roquefort,France
Pont-l'Evêque,France
Port Salut,France
Savoyard,France
Saint-Paulin,France
Carré-de-L'Est,France
Boursin,France
Bresse Bleu,France
Perle de Champagne,France
Camembert,France
Gouda,Netherlands
Edam,Netherlands
Caithness,United Kingdom
Smoked Austrian,Austria
Japanese Sage Darby,Japan
Wensleydale,United Kingdom
Greek Feta,Greece
Gorgonzola,Italy
Parmesan,Italy
Mozzarella,Italy
Pipo Crème,France
Danish Fynbo,Danemark
Czech sheep's milk,Czech Republic
Venezuelan Beaver Cheese,Venezuela
Cheddar,United Kingdom
Ilchester,United Kingdom
Limburger,Netherlands
